Node_ID	X(mm)	Y(mm)	Z(mm)
5	12.579666928	8.772113615	32.100000000
6	10.321982686	7.640121304	32.100000000
7	8.148260328	6.505353681	32.100000000
8	6.072864501	5.371033676	32.100000000
9	4.115559263	4.231287797	32.100000000
10	2.305207706	3.067361581	32.100000000
11	0.650119954	1.896233728	32.100000000
12	-0.847037640	0.740290660	32.100000000
13	-2.179129599	-0.386562281	32.100000000
14	-3.334637330	-1.476312302	32.100000000
15	-4.302609685	-2.519266790	32.100000000
16	-5.070686274	-3.504822010	32.100000000
17	-5.625024019	-4.418723194	32.100000000
18	-5.946137907	-5.240089441	32.100000000
19	-6.033774880	-5.924661915	32.100000000
20	-5.960023931	-6.414956290	32.100000000
21	-5.837177776	-6.687181551	32.100000000
22	-5.781608106	-6.770322069	32.100000000
23	-5.717612010	-6.850857789	32.100000000
24	-5.489522089	-7.056933632	32.100000000
25	-5.039887151	-7.298872305	32.100000000
26	-4.359866601	-7.507289831	32.100000000
27	-3.459248125	-7.622746138	32.100000000
28	-2.359561057	-7.612157526	32.100000000
29	-1.084560564	-7.450148995	32.100000000
30	0.340345003	-7.116207825	32.100000000
31	1.887378756	-6.591666404	32.100000000
32	3.525095546	-5.858358074	32.100000000
33	5.221165257	-4.905702190	32.100000000
34	6.951301975	-3.741501742	32.100000000
35	8.686894615	-2.367477667	32.100000000
36	10.395174977	-0.783631232	32.100000000
37	12.055777312	0.994110643	32.100000000
38	13.692928716	2.913161926	32.100000000
39	15.331405329	4.929757326	32.100000000
40	16.994614672	7.006222585	32.100000000
41	18.691822016	9.118259793	32.100000000
42	20.397879982	11.271626799	32.100000000
43	22.009663735	13.530052516	32.100000000
1	23.050056962	13.233324154	34.650000000
2	20.648053321	11.931324997	34.650000000
3	18.203331084	10.748814798	34.650000000
4	15.781112513	9.598029069	34.650000000
5	13.410370401	8.449565958	34.650000000
6	11.107251853	7.301738873	34.650000000
7	8.886221769	6.157441880	34.650000000
8	6.766189820	5.011564376	34.650000000
9	4.767529610	3.857572865	34.650000000
10	2.907205146	2.696280170	34.650000000
11	1.194761470	1.540551676	34.650000000
12	-0.365601934	0.409247248	34.650000000
13	-1.768945959	-0.682337015	34.650000000
14	-3.007288998	-1.724459201	34.650000000
15	-4.067675926	-2.713413318	34.650000000
16	-4.934154953	-3.646400702	34.650000000
17	-5.589154497	-4.516756184	34.650000000
18	-6.011596645	-5.310185799	34.650000000
19	-6.189438290	-5.990533504	34.650000000
20	-6.163082408	-6.494276419	34.650000000
21	-6.055245898	-6.778759203	34.650000000
22	-6.001698649	-6.865429127	34.650000000
23	-5.937851139	-6.948561911	34.650000000
24	-5.704533268	-7.157448746	34.650000000
25	-5.243295704	-7.398134704	34.650000000
26	-4.545803785	-7.595272950	34.650000000
27	-3.625649949	-7.693724669	34.650000000
28	-2.505286140	-7.662328658	34.650000000
29	-1.208829052	-7.475380758	34.650000000
30	0.238621138	-7.115255283	34.650000000
31	1.811880126	-6.570449582	34.650000000
32	3.485415191	-5.832721299	34.650000000
33	5.233329494	-4.896862708	34.650000000
34	7.027712722	-3.757916178	34.650000000
35	8.838776008	-2.412616729	34.650000000
36	10.633042596	-0.857871763	34.650000000
37	12.388114832	0.893224569	34.650000000
38	14.115086607	2.797461269	34.650000000
39	15.856551341	4.792243397	34.650000000
40	17.640996615	6.833258264	34.650000000
41	19.466853308	8.903813142	34.650000000
42	21.303472078	11.014948960	34.650000000
43	23.050056962	13.233324154	34.650000000
