Node_ID	X(mm)	Y(mm)	Z(mm)
15	-0.005954983	-0.002305001	0.030656364
16	-0.006437625	-0.002920102	0.030656364
17	-0.006817336	-0.003491095	0.030656364
18	-0.007084018	-0.004012891	0.030656364
19	-0.007227116	-0.004474217	0.030656364
20	-0.007222139	-0.004850629	0.030656364
21	-0.007113106	-0.005098200	0.030656364
22	-0.007007046	-0.005222482	0.030656364
23	-0.006966291	-0.005258945	0.030656364
24	-0.006921778	-0.005293126	0.030656364
25	-0.006776446	-0.005377157	0.030656364
26	-0.006510020	-0.005458141	0.030656364
27	-0.006122354	-0.005477466	0.030656364
28	-0.005629972	-0.005415090	0.030656364
29	-0.005047678	-0.005264790	0.030656364
30	-0.004393630	-0.005005184	0.030656364
31	-0.003678308	-0.004641941	0.030656364
32	-0.002916206	-0.004169365	0.030656364
33	-0.002120250	-0.003586348	0.030656364
34	-0.001301281	-0.002895376	0.030656364
35	-0.000468268	-0.002101183	0.030656364
36	0.000371261	-0.001209807	0.030656364
37	0.001210804	-0.000228034	0.030656364
38	0.002044596	0.000836894	0.030656364
39	0.002867460	0.001977405	0.030656364
40	0.003674733	0.003185702	0.030656364
41	0.004462169	0.004453964	0.030656364
42	0.005225594	0.005774828	0.030656364
43	0.005960092	0.007142319	0.030656364
44	0.006658485	0.008553390	0.030656364
45	0.007286138	0.009981653	0.030656364
1	0.007811725	0.009534942	0.033041818
2	0.006604230	0.008580395	0.033041818
3	0.005425691	0.007608196	0.033041818
4	0.004267168	0.006638823	0.033041818
5	0.003126706	0.005685303	0.033041818
6	0.002007446	0.004755080	0.033041818
7	0.000915293	0.003852358	0.033041818
8	-0.000142564	0.002979632	0.033041818
9	-0.001158494	0.002138572	0.033041818
10	-0.002124850	0.001330482	0.033041818
11	-0.003034152	0.000556512	0.033041818
12	-0.003879131	-0.000182261	0.033041818
13	-0.004652690	-0.000884817	0.033041818
14	-0.005347775	-0.001550204	0.033041818
15	-0.005957124	-0.002177539	0.033041818
16	-0.006472814	-0.002765953	0.033041818
17	-0.006885386	-0.003314291	0.033041818
18	-0.007182330	-0.003819916	0.033041818
19	-0.007346498	-0.004274373	0.033041818
20	-0.007367569	-0.004651171	0.033041818
21	-0.007286416	-0.004909553	0.033041818
22	-0.007193064	-0.005043846	0.033041818
23	-0.007155237	-0.005083391	0.033041818
24	-0.007113356	-0.005120967	0.033041818
25	-0.006973270	-0.005214160	0.033041818
26	-0.006710591	-0.005308624	0.033041818
27	-0.006323236	-0.005345767	0.033041818
28	-0.005827440	-0.005303909	0.033041818
29	-0.005238001	-0.005176488	0.033041818
30	-0.004569928	-0.004949824	0.033041818
31	-0.003837823	-0.004616736	0.033041818
32	-0.003054846	-0.004174870	0.033041818
33	-0.002232622	-0.003624898	0.033041818
34	-0.001381442	-0.002969446	0.033041818
35	-0.000510470	-0.002212517	0.033041818
36	0.000372098	-0.001359168	0.033041818
37	0.001258949	-0.000415319	0.033041818
38	0.002143588	0.000612381	0.033041818
39	0.003020294	0.001716690	0.033041818
40	0.003884015	0.002889970	0.033041818
41	0.004730175	0.004124503	0.033041818
42	0.005554274	0.005413047	0.033041818
43	0.006351198	0.006749731	0.033041818
44	0.007114175	0.008131438	0.033041818
45	0.007811725	0.009534942	0.033041818
1	0.008302819	0.009097979	0.035427273
2	0.007056763	0.008189840	0.035427273
3	0.005838736	0.007262947	0.035427273
4	0.004640696	0.006338156	0.035427273
5	0.003461181	0.005428692	0.035427273
6	0.002303596	0.004541967	0.035427273
7	0.001173989	0.003682019	0.035427273
8	0.000079637	0.002851095	0.035427273
9	-0.000971767	0.002050577	0.035427273
10	-0.001972522	0.001281468	0.035427273
11	-0.002915109	0.000544616	0.035427273
12	-0.003792233	-0.000159190	0.035427273
13	-0.004596794	-0.000829205	0.035427273
14	-0.005321776	-0.001464734	0.035427273
15	-0.005960032	-0.002065131	0.035427273
16	-0.006503884	-0.002629750	0.035427273
17	-0.006944390	-0.003157681	0.035427273
18	-0.007270076	-0.003646731	0.035427273
19	-0.007465430	-0.004089830	0.035427273
20	-0.007517206	-0.004464493	0.035427273
21	-0.007458301	-0.004729357	0.035427273
22	-0.007375835	-0.004870938	0.035427273
23	-0.007340998	-0.004913277	0.035427273
24	-0.007301747	-0.004953921	0.035427273
25	-0.007167485	-0.005056448	0.035427273
26	-0.006909354	-0.005165578	0.035427273
27	-0.006522564	-0.005220894	0.035427273
28	-0.006023345	-0.005200637	0.035427273
29	-0.005426638	-0.005097366	0.035427273
30	-0.004747042	-0.004897278	0.035427273
31	-0.003998750	-0.004593244	0.035427273
32	-0.003194632	-0.004182751	0.035427273
33	-0.002346188	-0.003666116	0.035427273
34	-0.001463759	-0.003045499	0.035427273
35	-0.000556715	-0.002324377	0.035427273
36	0.000366421	-0.001507284	0.035427273
37	0.001297912	-0.000599651	0.035427273
38	0.002230787	0.000392305	0.035427273
39	0.003158818	0.001461697	0.035427273
40	0.004076470	0.002601158	0.035427273
41	0.004978742	0.003803159	0.035427273
42	0.005860835	0.005060561	0.035427273
43	0.006717546	0.006367539	0.035427273
44	0.007542340	0.007720973	0.035427273
45	0.008302819	0.009097979	0.035427273
1	0.008763101	0.008674681	0.037812727
2	0.007480768	0.007810829	0.037812727
3	0.006225592	0.006927194	0.037812727
4	0.004990366	0.006045006	0.037812727
5	0.003774102	0.005177666	0.037812727
6	0.002580464	0.004332558	0.037812727
7	0.001415643	0.003513555	0.037812727
8	0.000287004	0.002722662	0.037812727
9	-0.000797696	0.001960984	0.037812727
10	-0.001830708	0.001229232	0.037812727
11	-0.002804469	0.000527964	0.037812727
12	-0.003711655	-0.000142314	0.037812727
13	-0.004545157	-0.000781123	0.037812727
14	-0.005297983	-0.001388014	0.037812727
15	-0.005963066	-0.001962568	0.037812727
16	-0.006532916	-0.002504352	0.037812727
17	-0.006998983	-0.003012674	0.037812727
18	-0.007350582	-0.003485683	0.037812727
19	-0.007573654	-0.003917265	0.037812727
20	-0.007654118	-0.004288126	0.037812727
21	-0.007617646	-0.004557831	0.037812727
22	-0.007546758	-0.004706069	0.037812727
23	-0.007515153	-0.004751071	0.037812727
24	-0.007478780	-0.004794685	0.037812727
25	-0.007350885	-0.004906325	0.037812727
26	-0.007097673	-0.005029559	0.037812727
